image,mask_pixels,skeleton_pixels,D_min_px,D_ref_px,stenosis_percent
14_021_6_0049_bmp.rf.d36c2727e5752ab0682e98385ba2cc92_mask.png,2513,429,4.472,7.211,37.98
14_022_1_0041_bmp.rf.2d94dc2585457c4bf00bebe053a4c9c2_mask.png,3418,548,4.472,8.944,50.0
14_022_1_0042_bmp.rf.15304e3d9c3fdcba28f2974692c986b6_mask.png,2516,356,4.472,10.139,55.89
14_022_1_0043_bmp.rf.a37fcb7b0dd55df948c3d60b8903696c_mask.png,2159,275,4.472,10.707,58.23
14_022_1_0045_bmp.rf.500c2f65b6b0a9bfce44938019701684_mask.png,2136,331,4.472,8.645,48.27
14_022_1_0047_bmp.rf.766a6940e5e94c593d30f3d6172eb49c_mask.png,1033,129,4.472,10.822,58.67
14_022_1_0060_bmp.rf.1f661ab9d64f461027638a286be13b4b_mask.png,1417,170,4.472,11.042,59.5
14_022_1_0062_bmp.rf.167a13cbc8d2a9bc81bb22a588423d6f_mask.png,1325,232,4.472,8.0,44.1
14_022_1_0072_bmp.rf.1def5a406650d582ea5a13086db00eaa_mask.png,2659,416,4.472,8.944,50.0
14_022_1_0074_bmp.rf.54a0243f7cd06a39c82862be30dee943_mask.png,2511,407,4.472,8.761,48.95
14_022_2_0036_bmp.rf.b385d38261c2fd60a5d0de8174191728_mask.png,1386,195,4.472,8.715,48.68
14_022_2_0038_bmp.rf.73153894cbf5d025d10a2470080d1a44_mask.png,1199,176,4.472,8.0,44.1
14_022_2_0040_bmp.rf.b057da53a73883eff03c2acec91aea02_mask.png,1333,235,4.472,7.211,37.98
14_022_2_0042_bmp.rf.dcf61a5c12845520d64d116cb3a2aea0_mask.png,1438,193,5.657,10.0,43.43
14_022_2_0059_bmp.rf.7401e14cd6484bf4d8a8684473e15a26_mask.png,671,110,4.472,6.558,31.81
14_022_3_0044_bmp.rf.fa728719acfb51d4b4637229aba3f724_mask.png,2665,365,4.472,8.944,50.0
14_022_3_0046_bmp.rf.5e278f3db279ff8638c1e56f702d0386_mask.png,4297,634,4.472,8.944,50.0
14_022_6_0027_bmp.rf.852cfb37c54fc2a0ce92b54132c5337f_mask.png,440,81,4.472,8.278,45.98
14_022_6_0045_bmp.rf.f88a3049d093c25566f5692ff8722916_mask.png,369,89,4.0,4.472,10.56
14_022_6_0050_bmp.rf.d2c09d8e39bfc3d9e2b820c7d0aa81ba_mask.png,310,75,4.0,4.189,4.51
14_022_6_0054_bmp.rf.62fb3849066e14338abab75fd7b07351_mask.png,303,48,4.472,7.842,42.97
14_022_6_0066_bmp.rf.90d1e15d332aaa1ba2a346895ea52566_mask.png,388,91,4.0,4.946,19.13
14_022_6_0068_bmp.rf.245be8aa4af9ccd7c5e14ad902c9d663_mask.png,350,79,4.0,4.828,17.14
14_022_7_0034_bmp.rf.f9945d0c7616116e392912db574145e9_mask.png,727,95,5.657,8.0,29.29
14_022_7_0047_bmp.rf.69e60706a79f056d48490444638182d6_mask.png,738,116,4.472,6.325,29.29
14_022_7_0048_bmp.rf.2732ff40c3b83d6b5f47165f791a94b1_mask.png,1061,159,4.472,8.074,44.61
14_022_7_0049_bmp.rf.d6bacc648361cb17f11dd4ed67cff9a5_mask.png,937,147,4.472,8.122,44.94
14_022_7_0062_bmp.rf.75a57e8ea67fdf74f18ca3af93c00a19_mask.png,804,122,4.472,7.211,37.98
14_022_7_0066_bmp.rf.394614a829e9022ff26df4f1438afbb9_mask.png,782,109,4.472,8.123,44.95
14_023_2_0076_bmp.rf.7c3d8a56cb33bd2f0d4c6925e27d5258_mask.png,4534,701,4.472,8.944,50.0
14_023_2_0079_bmp.rf.7200b95bff26d74e574a6f4987c25225_mask.png,4916,834,4.472,8.944,50.0
14_023_2_0090_bmp.rf.a9e3c34be5c23e6c653f3796893666ef_mask.png,2507,479,4.472,8.246,45.77
14_023_2_0094_bmp.rf.cfb74b19fe906118f7b6658364edb002_mask.png,3740,666,4.472,8.944,50.0
14_023_2_0101_bmp.rf.d312b98252c564401c767faa57d400b0_mask.png,2212,387,4.472,8.222,45.6
14_023_2_0110_bmp.rf.aeea5954ea816b776857b1b28222b472_mask.png,6630,1210,4.472,8.944,50.0
14_023_2_0113_bmp.rf.ba8a01fcac1525dc71dd667a5b538541_mask.png,5364,930,4.472,8.944,50.0
14_023_2_0114_bmp.rf.f6eab14c5193408d96dbdd163ce9e7d1_mask.png,2411,340,4.472,11.449,60.94
